               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  10,            0.047895,            0.054536,             0.00636,             0.64468,             0.57598,             0.59864,             0.27357,            0.054868,            0.038314,            0.008449,            0.006436,            0.006436,            0.006436
                  11,            0.047845,            0.055331,           0.0063604,             0.69324,             0.57949,             0.63589,             0.28449,            0.054248,            0.038138,           0.0084841,             0.00604,             0.00604,             0.00604
                  12,            0.045769,            0.053923,           0.0062466,             0.68558,             0.60344,             0.61036,             0.27291,            0.054126,            0.038614,           0.0080839,            0.005644,            0.005644,            0.005644
                  13,            0.045656,             0.05284,           0.0060376,             0.69777,             0.59014,             0.62677,             0.27123,            0.054751,            0.037979,           0.0079444,            0.005248,            0.005248,            0.005248
                  14,            0.044832,             0.05208,           0.0059051,             0.72146,             0.58643,             0.65398,              0.2871,            0.054742,            0.038497,           0.0081253,            0.004852,            0.004852,            0.004852
                  15,            0.043673,            0.053001,           0.0057043,             0.72401,             0.60436,             0.64019,             0.29277,            0.053591,            0.037356,            0.007923,            0.004456,            0.004456,            0.004456
                  16,            0.043257,             0.05348,           0.0055211,             0.77858,             0.56745,             0.63006,             0.28551,            0.052921,            0.039046,           0.0080949,             0.00406,             0.00406,             0.00406
                  17,            0.042059,            0.050248,           0.0050069,             0.73258,             0.61782,             0.64718,             0.29315,            0.053147,            0.038649,           0.0078742,            0.003664,            0.003664,            0.003664
                  18,            0.042019,            0.049428,           0.0055074,             0.73565,             0.61305,             0.65491,             0.29813,            0.054983,            0.037629,            0.008037,            0.003268,            0.003268,            0.003268
                  19,            0.041486,             0.04865,           0.0054269,              0.7581,             0.59154,             0.64564,             0.29822,            0.054951,            0.039066,           0.0078694,            0.002872,            0.002872,            0.002872
                  20,              0.0411,            0.049706,           0.0051946,             0.73609,             0.61821,             0.64328,             0.29495,            0.053471,            0.040131,           0.0078812,            0.002476,            0.002476,            0.002476
                  21,            0.040398,            0.048679,           0.0051783,             0.71459,             0.60594,             0.64775,             0.30442,            0.052362,            0.039645,           0.0076028,             0.00208,             0.00208,             0.00208
                  22,            0.039987,            0.047044,            0.004989,             0.70872,             0.61239,             0.63469,             0.30266,            0.052519,            0.038549,           0.0076155,            0.001684,            0.001684,            0.001684
                  23,            0.039537,            0.044731,            0.004935,             0.71093,             0.62226,             0.65068,             0.30326,            0.052521,            0.038376,            0.007665,            0.001288,            0.001288,            0.001288
